Month,Region,UnemploymentRate
7,Ballarat,3.5
7,Bendigo,4.7
7,Geelong,4.4
7,Hume,4.2
7,Latrobe - Gippsland,4.7
7,Melbourne - Inner,4.6
7,Melbourne - Inner East,3.7
7,Melbourne - Inner South,3.2
7,Melbourne - North East,4.6
7,Melbourne - North West,4.7
7,Melbourne - Outer East,4.3
7,Melbourne - South East,3.7
7,Melbourne - West,5.1
7,Mornington Peninsula,6.1
7,North West,5
7,Shepparton,2
7,Warrnambool and South West,2.9
6,Ballarat,2.7
6,Bendigo,4
6,Geelong,4.4
6,Hume,4.3
6,Latrobe - Gippsland,5
6,Melbourne - Inner,4.8
6,Melbourne - Inner East,4
6,Melbourne - Inner South,3.2
6,Melbourne - North East,4.3
6,Melbourne - North West,4.9
6,Melbourne - Outer East,4.9
6,Melbourne - South East,4.1
6,Melbourne - West,4.9
6,Mornington Peninsula,5.1
6,North West,2.5
6,Shepparton,4.6
6,Warrnambool and South West,3.1
5,Ballarat,3.0
5,Bendigo,3.9
5,Geelong,4.3
5,Hume,4.4
5,Latrobe - Gippsland,5.8
5,Melbourne - Inner,4.8
5,Melbourne - Inner East,4.6
5,Melbourne - Inner South,3.4
5,Melbourne - North East,4.6
5,Melbourne - North West,5.5
5,Melbourne - Outer East,5.0
5,Melbourne - South East,4.2
5,Melbourne - West,4.1
5,Mornington Peninsula,4.9
5,North West,2.5
5,Shepparton,4.4
5,Warrnambool and South West,2.5
4,Ballarat,3.1
4,Bendigo,3.1
4,Geelong,3.9
4,Hume,4.1
4,Latrobe - Gippsland,5.9
4,Melbourne - Inner,5.4
4,Melbourne - Inner East,4.6
4,Melbourne - Inner South,3.1
4,Melbourne - North East,4.4
4,Melbourne - North West,5.7
4,Melbourne - Outer East,4.9
4,Melbourne - South East,4.2
4,Melbourne - West,4.0
4,Mornington Peninsula,4.2
4,North West,1.6
4,Shepparton,4.5
4,Warrnambool and South West,2.2
3,Ballarat,5.9
3,Bendigo,3.1
3,Geelong,3.5
3,Hume,2.9
3,Latrobe - Gippsland,5.6
3,Melbourne - Inner,5.4
3,Melbourne - Inner East,4.1
3,Melbourne - Inner South,3.0
3,Melbourne - North East,4.2
3,Melbourne - North West,5.6
3,Melbourne - Outer East,4.5
3,Melbourne - South East,4.3
3,Melbourne - West,4.3
3,Mornington Peninsula,4.2
3,North West,1.2
3,Shepparton,4.0
3,Warrnambool and South West,2.2
2,Ballarat,7.2
2,Bendigo,2.2
2,Geelong,3.2
2,Hume,2.5
2,Latrobe - Gippsland,4.6
2,Melbourne - Inner,5.5
2,Melbourne - Inner East,3.5
2,Melbourne - Inner South,2.7
2,Melbourne - North East,4.5
2,Melbourne - North West,5.7
2,Melbourne - Outer East,4.1
2,Melbourne - South East,4.4
2,Melbourne - West,4.5
2,Mornington Peninsula,3.0
2,North West,1.4
2,Shepparton,3.8
2,Warrnambool and South West,1.8
1,Ballarat,7.5
1,Bendigo,2.4
1,Geelong,3.0
1,Hume,2.8
1,Latrobe - Gippsland,4.4
1,Melbourne - Inner,4.5
1,Melbourne - Inner East,3.5
1,Melbourne - Inner South,2.7
1,Melbourne - North East,4.2
1,Melbourne - North West,6.3
1,Melbourne - Outer East,3.8
1,Melbourne - South East,4.5
1,Melbourne - West,5.0
1,Mornington Peninsula,2.1
1,North West,1.0
1,Shepparton,2.6
1,Warrnambool and South West,1.5
